mx,my,mz
4664,-2384,5328
4664,-2384,5328
4664,-2384,5328
3803,-2373,4120
3803,-2373,4120
2941,-2445,3569
2941,-2445,3569
2246,-2633,3342
1742,-2632,3290
1742,-2632,3290
1084,-2539,3341
417,-2441,3498
553,-2417,3472
1235,-2421,3334
1235,-2421,3334
2228,-2347,3411
3263,-2282,3826
3263,-2282,3826
3263,-2282,3826
4174,-2127,4685
4174,-2127,4685
4174,-2127,4685
4798,-2165,5901
4798,-2165,5901
4798,-2165,5901
4903,-2350,7005
4557,-2516,8185
4557,-2516,8185
3684,-2878,9120
4368,-2688,8356
4368,-2688,8356
4879,-2666,7373
4879,-2666,7373
4999,-2639,6327
4999,-2639,6327
4845,-2757,5411
4845,-2757,5411
4511,-2850,4839
4511,-2850,4839
4005,-2941,4180
4005,-2941,4180
3421,-3008,3677
2624,-2985,3411
2624,-2985,3411
1956,-3037,3303
1124,-3177,3320
1766,-3113,3245
1766,-3113,3463
2706,-3083,3463
2706,-3083,3463
2706,-3083,3463
3789,-2798,4053
3789,-2798,4053
3789,-2798,4053
4618,-2636,5041
4618,-2636,5041
4975,-2598,6202
4975,-2598,6202
4975,-2598,6202
4898,-2630,7327
4494,-2741,8309
3789,-3112,9141
4361,-3076,8477
4781,-3048,7748
4781,-3048,7748
5046,-3185,6848
5042,-3360,6097
5042,-3360,6097
4836,-3503,5314
4836,-3503,5314
4422,-3687,4697
4422,-3687,4697
3925,-3854,4239
3925,-3854,4239
3374,-3862,3826
3374,-3862,3632
2749,-4005,3632
2257,-4110,3511
1978,-4176,3545
2251,-4162,3514
2251,-4162,3514
2847,-4018,3663
3796,-3760,4112
3796,-3760,4112
3796,-3760,5054
4595,-3618,5054
4595,-3618,5054
4595,-3618,5054
5000,-3357,6211
5000,-3357,6211
4689,-3471,7810
4924,-3457,7142
4924,-3457,7142
4989,-3448,6468
4888,-3466,5586
4555,-3505,4845
4555,-3505,4845
3832,-3438,4060
4343,-3539,4609
4343,-3539,4609
4834,-3570,5535
4987,-3626,6599
4842,-3826,7448
5070,-2958,7010
5035,-3006,6203
4927,-3033,5586
4677,-2987,4916
3658,-3112,3898
4559,-3226,4842
5044,-3272,6062
5066,-3280,6743
4554,-3582,8265
4056,-3669,8860
2813,-3783,9566
2057,-3790,9791
3254,-2837,9415
3903,-2628,8955
5069,-2810,6361
4908,-2826,5457
4610,-3003,4909
4949,-2963,5718
4310,-2664,8566
3276,-2071,9330
3864,-1962,8895
4901,-2152,6447
4875,-2202,5621
4550,-2037,4984
4706,-2025,5507
4520,-1679,7652
3998,-1564,8472
2487,-1574,9398
1624,-1593,9545
1583,-1240,9303
2131,-1109,9130
3630,-1009,8252
4011,-1192,7954
4200,-1506,4946
4427,-1536,5411
4286,-1259,7496
2944,-1379,9005
2248,-1450,9298
2379,-1432,9158
3732,-957,4960
3452,-936,4645
3197,-1026,4357
3931,-1100,4989
4608,-3534,8057
4719,-3807,7703
4471,-1595,7611
4356,-1471,7678
3914,-1236,8099
3397,-1204,8652
3397,-1204,8652
3212,-1343,8859
3114,-1336,8910
4383,-1071,6727
4097,-1021,7598
4097,-1021,7598
3966,-1375,8271
3890,-1879,8732
3899,-2502,8970
3812,-2990,8998
3812,-2990,8984
3873,-3004,8984
3742,-2460,9005
3471,-1603,8881
2954,-3504,9583
2317,-4079,9632
5066,-2734,7116
4972,-2241,6789
4739,-1656,7049
4214,-1432,8009
4214,-1432,8009
5008,-2718,7066
4917,-2041,6636
4651,-1527,6887
4318,-1272,7561
4787,-2156,7613
-1440,-1833,8219
-1149,-1280,8124
-673,-865,8266
-133,-550,8317
412,-418,8428
940,-294,8471
-1721,-1895,7824
-2149,-2554,6705
-2044,-2111,6468
-2030,-1995,6592
-1917,-1980,7353
-1516,-2025,8284
-11,-2270,9488
24,-2110,9553
181,-1968,9491
181,-1968,9416
249,-1814,9416
249,-1760,9399
369,-1760,9399
460,-1632,9393
581,-1611,9345
680,-1587,9378
940,-1530,9418
1134,-1500,9404
1387,-1452,9381
1672,-1470,9324
1811,-1518,9338
-1504,-2153,8240
-1186,-1193,7828
-1379,-1003,6948
-808,-564,7130
-94,-206,7467
3568,-649,7360
778,-252,4998
320,-356,5043
-106,-505,5024
-106,-505,5024
-358,-695,4863
-558,-895,4797
-822,-1023,4957
-822,-1023,5125
-1045,-1123,5125
-940,-1036,5027
-683,-951,4832
-343,-766,4810
-343,-766,4810
-343,-766,4810
80,-684,4606
422,-658,4563
765,-597,4532
1035,-572,4481
1308,-519,4488
-529,-526,5584
-880,-558,6328
2465,-2474,9638
2926,-2329,9507
3277,-2268,9337
3658,-2023,9043
3658,-2023,9043
3658,-2023,8862
3771,-1848,8862
3740,-1856,8923
3412,-2140,9267
2850,-2545,9595
2850,-2545,9595
2086,-3015,9794
1252,-3531,9742
492,-3902,9618
-158,-3979,9331
-685,-3912,9073
-1085,-3818,8806
-1347,-3634,8571
-1440,-3536,8563
-1205,-3566,8786
-846,-3439,9073
2146,-2766,9745
2519,-2402,9620
2794,-2031,9528
2677,97,7267
2525,162,7053
4122,-1231,7826
4100,-2994,8735
3745,-3778,8898
3635,-403,6435
3307,-133,6190
2646,75,5812
2215,153,5626
2489,81,5675
4224,-1128,5678
3768,-777,5459
3275,-512,5286
2987,-501,5117
3170,-513,5155
4310,-1239,5661
3893,-973,5295
4711,-1615,6253
4123,-773,6773
3453,-519,7814
-1083,-1122,8277
1518,-260,8517
2581,-493,8593
-447,-1741,3971
-1259,-1747,4672
-1841,-1844,5492
-1489,-2747,8646
-711,-3178,9340
564,-3412,9841
-1188,-2007,4359
-224,-1960,3737
-2025,-3114,7823
-2025,-3114,7823
-2025,-3114,7823
-1974,-2991,7924
-1974,-2991,7924
-1953,-2703,7719
-1253,-4702,8097
-33,-5419,8454
1647,-5981,8112
930,-5904,8149
553,-5802,8180
553,-5802,8180
-84,-5612,8023
-784,-5295,7882
-784,-5295,7882
-1373,-4744,7736
-1689,-4234,7673
-1912,-3814,7535
1460,300,6022
466,158,6014
-806,-436,6111
-2123,-3478,7139
-1547,-4598,7564
-1547,-4598,7564
-756,-5308,7917
-756,-5308,7917
-136,-5631,8088
760,-5859,8218
760,-5859,8218
1837,-5895,8166
1036,-5992,7931
1036,-5992,7931
115,-5804,7795
-814,-5369,7579
-814,-5369,7579
-1421,-4870,7473
-1748,-4438,7366
-1748,-4438,7366
-1232,-732,6591
-656,-220,6483
195,149,6452
-1760,-4392,7447
-1392,-4927,7510
-799,-5490,7664
47,-5888,7785
-1027,-5281,7435
2145,230,6336
2761,84,6465
-2050,-2491,5688
-1560,-1450,5572
-2067,-2488,5803
-1736,-1975,5293
-1139,-808,5704
-1139,-808,5704
37,4,6067
1239,231,6355
2022,220,6559
2469,101,6519
2287,103,5905
-1594,-1483,5690
-1898,-2217,5629
-2053,-2939,5661
4386,-4642,5928
4610,-4302,5793
4610,-4206,5717
4602,-4206,5717
3880,-964,5398
3924,-1072,5268
-1200,-1608,4787
-1458,-2079,4862
-1746,-2574,5093
3797,-930,5384
3938,-1191,5179
3959,-1294,5134
-1588,-2027,5064
-1217,-871,6454
-1943,-1947,6152
-2002,-2779,5580
-530,-3342,3700
819,-3224,3260
4934,-2424,6915
4783,-2650,7707
4783,-2650,7707
4397,-2443,8416
4397,-2443,8416
3632,-2115,9182
3632,-2115,9182
2636,-2076,9654
-558,-471,6249
-1213,-939,6039
169,-1441,3826
4536,-1548,5731
4734,-1578,6604
4734,-1578,6604
4511,-1541,7672
-1201,-1307,5465
-1732,-1888,5534
-1820,-2307,5438
931,-2125,3502
4752,-2697,5453
4919,-2731,5852
4979,-2580,6559
4979,-2580,6559
4910,-2476,7337
4635,-2625,8133
2177,-167,5335
939,-80,5450
75,-248,5700
-603,-523,5797
-1160,-1112,5558
4925,-2551,7299
4515,-2528,8319
4833,-2252,5910
4557,-1388,6197
4557,-1388,6197
3821,-528,6146
4787,-3201,7745
4787,-2831,6950
5007,-2831,6950
4386,-1479,5514
4386,-1479,5514
4672,-1757,7220
4436,-2515,8219
4436,-2515,8219
4604,-1571,6960
-1694,-1658,5786
4777,-1858,6766
4777,-2353,5479
4941,-2482,6017
3558,-3946,3948
4131,-3985,4361
4484,-3982,4899
4715,-3876,5198
4673,-3817,5121
4403,-3660,4641
1889,-3303,3254
2830,-3397,3458
3382,-3604,3718
3769,-3744,4062
4074,-3925,4350
-259,-211,7028
-833,-559,6896
-1266,-892,6699
3859,-835,5595
4213,-1360,5361
4337,-1652,5116
4089,-1330,4884
4089,-1330,4884
4393,-1833,4908
3753,-1246,4660
4025,-1584,4639
4104,-1689,4598
3654,-388,6411
3959,-574,6296
3959,-574,6296
4189,-790,6191
4428,-1097,6139
4533,-1274,6111
4701,-1452,6128
4632,-1378,6210
4394,-1029,6357
3993,-570,6665
3993,-570,6665
3511,-261,7043
4299,-1542,8004
4503,-1878,7978
4498,-2108,8031
4479,-1939,7952
3566,-2615,9271
3566,-2615,8762
4118,-2545,8762
4181,-5193,5781
4133,-5273,6863
4278,-4417,8097
5057,-2910,6856
4956,-2281,6384
4956,-2281,6384
4577,-1545,5951
4127,-1275,5129
3624,-1520,4373
3913,-1540,4657
