mx,my,mz
-512,3847,9174
-861,3983,8815
-1298,4035,8459
-1298,4035,8459
-1521,4040,8056
-1742,4295,7499
-1892,4395,6806
-1864,4435,5944
-1864,4435,5944
-1631,4353,5123
-1631,4353,5123
-1270,4252,4507
-1270,4252,4507
-1121,4140,4238
-980,4148,4113
-858,4112,4041
-905,4103,4011
-1194,4099,4269
-1586,4128,4859
-1882,4106,5450
-1995,4061,5975
-1995,4061,5975
-1995,4061,5975
-1995,4061,5975
-2142,3828,6609
-2052,3678,7220
-2052,3678,7220
-1832,3584,7817
-1548,3449,8347
-1254,3223,8703
-962,3131,8969
-962,3131,8969
-962,3131,8969
-679,3040,9193
-462,2997,9342
-350,2933,9359
-357,2965,9412
-755,3006,9100
-755,3006,9100
-1418,3096,8510
-1781,3352,7897
-2133,3612,7029
-2133,3612,7029
-2120,3843,6160
-1955,3957,5428
-1955,3957,5428
-1955,3957,5428
-1679,4071,4856
-1299,4095,4365
-2015,2780,5451
-2015,2780,5451
-2130,2589,6083
-2099,2525,6751
-2008,2408,7332
-1798,2338,7764
-1498,2265,8340
-1089,2096,8770
-1089,2096,8770
-803,2018,8938
-789,2094,8913
-1222,2256,8612
-1731,2370,8063
-1975,2449,7375
-2164,2527,6714
-2161,2646,5947
-1952,2751,5344
-1904,4293,5719
-1879,4428,6169
-1870,4516,6754
-1233,4369,8411
-971,4194,8737
-919,4116,8826
-1040,4241,8639
-1304,4143,8404
-1304,4143,8404
-1659,4306,7738
-1833,4328,7270
-1945,4242,6880
-1316,3616,8561
-622,3308,9255
-622,3308,9255
396,2945,9747
396,2945,9747
1385,2693,9854
2518,2505,9666
3439,2660,9290
3876,3087,9029
3876,3087,9029
4113,3473,8725
4409,3743,8231
4784,3873,7299
4784,3873,7299
4895,3807,6573
4895,3807,6573
4808,3733,5767
4593,3615,5078
4275,3547,4564
4275,3547,4564
4019,3562,4255
4019,3562,4255
3500,3415,3851
3781,3565,4143
4204,3710,4575
4204,3710,4575
4571,3800,5150
4571,3800,5150
4571,3800,5150
4571,3800,5908
4839,3834,5908
4912,3741,6760
4912,3741,6760
4850,3706,7337
4658,3688,7776
4364,3631,8427
3896,3700,8951
3696,3739,9142
3829,3762,9025
4085,3765,8723
4407,3761,8336
4735,3670,7753
4735,3670,7753
4735,3670,7753
4903,3604,6998
4946,3570,6272
3558,3292,3879
3285,3150,3670
3112,2929,3574
3265,2921,3638
3265,2921,3933
3661,3099,3933
4758,3634,5577
4836,3840,6021
4836,3840,6021
4844,3952,6584
4844,3952,6584
4754,4044,7112
4603,4105,7645
4362,4182,8081
4158,4176,8378
3813,4188,8765
3813,4188,8765
3592,4190,8975
3610,4152,8912
3799,4110,8796
3799,4110,8796
4141,4049,8479
4141,4049,8479
4396,4010,8103
4631,3999,7527
4631,3999,7527
4822,4015,6820
4885,3727,6448
4885,3788,6954
4896,3788,6954
4896,3788,6954
4896,3788,6954
4733,3888,7376
4733,3888,7376
4543,4080,7801
4543,4080,7801
4280,4154,8147
4036,4126,8541
3774,4061,8825
3522,3975,9098
3522,3975,9098
3363,3897,9232
3320,4016,9172
3464,4053,9055
3759,4102,8820
4113,4078,8548
4113,4078,8548
4448,3920,8128
4448,3920,8128
4448,3920,8128
4724,3841,7628
4724,3841,7628
