mx,my,mz
-507,1526,9035
-457,1507,9113
-360,1550,9139
-360,1550,9139
-272,1559,9202
-165,1575,9303
105,1601,9414
20,1642,9369
-46,1659,9385
-115,1673,9404
-84,1686,9351
-142,1718,9364
373,1916,9602
398,1927,9664
343,1982,9651
330,1989,9611
222,1896,9605
112,1815,9501
124,1770,9512
199,1774,9542
242,1783,9503
-50,1739,9387
-67,1756,9337
-118,1768,9370
-301,1685,9272
-152,1799,9412
11,1844,9475
183,1831,9535
459,1827,9613
812,1934,9710
812,1934,9710
1062,1885,9740
1192,1944,9762
1293,1890,9739
1366,1804,9649
1467,1749,9703
1387,1989,9776
1397,2113,9773
1388,2108,9839
1296,2136,9831
1260,2117,9825
1281,2028,9766
1293,1844,9729
1310,1820,9694
1320,1829,9732
1319,1810,9714
1276,1802,9679
1323,1773,9661
1098,1893,9727
1027,1941,9774
1033,1986,9749
944,1953,9710
964,1973,9731
955,2007,9724
883,1976,9698
839,2018,9717
876,2019,9720
850,2010,9740
840,2069,9748
805,2116,9767
805,2121,9775
823,2121,9775
879,2155,9784
913,2149,9760
970,2055,9793
1381,1812,9734
1452,1735,9678
1474,1856,9709
1415,1941,9745
1493,1832,9704
1562,1744,9703
1618,1752,9735
1713,1692,9687
1822,1675,9656
1860,1668,9679
1869,1659,9650
1869,1739,9713
1296,1748,9677
695,2144,9741
666,2082,9758
686,1999,9740
678,2054,9755
687,2029,9746
662,2112,9698
603,2225,9767
546,2244,9745
501,2257,9777
453,2415,9791
435,2470,9777
430,2479,9802
404,2462,9800
401,2502,9820
404,2473,9778
377,2472,9781
389,2461,9798
391,2526,9781
261,3006,9756
296,3029,9783
294,3030,9821
295,3099,9757
250,3128,9763
300,3077,9773
292,3026,9795
268,2953,9825
268,2991,9788
280,2991,9788
289,3002,9774
267,2941,9801
322,2926,9802
303,2861,9743
277,2840,9796
310,2869,9819
281,2898,9769
285,2919,9793
458,3597,9775
478,3653,9758
516,3736,9766
561,3704,9753
551,3590,9848
551,3590,9800
558,3584,9800
558,3607,9771
539,3607,9771
545,3644,9774
534,3623,9803
579,3622,9795
581,3688,9782
613,3695,9828
619,3698,9785
662,3758,9742
681,3848,9788
706,3939,9790
806,3981,9755
786,3977,9763
831,3974,9767
799,3969,9753
798,3963,9721
766,3994,9666
788,4063,9679
768,4112,9636
721,4060,9684
688,3832,9735
770,3934,9719
802,4009,9724
845,4031,9735
880,4007,9748
952,3992,9738
1036,4026,9697
1123,4101,9698
1158,4093,9674
1213,4184,9672
1248,4239,9619
1237,4117,9709
1219,4111,9705
1237,4129,9679
1245,4121,9697
1251,4035,9722
1243,4025,9714
2572,3760,9642
2546,3755,9634
2617,3722,9649
2636,3704,9640
2636,3704,9665
2665,3692,9665
2669,3653,9693
2662,3612,9650
2707,3605,9668
2711,3553,9659
2708,3549,9648
2767,3502,9693
2747,3457,9666
2747,3457,9659
2731,3465,9659
