mx,my,mz
4241,2318,8254
4677,2242,7550
4677,2242,7550
4689,1956,5537
4467,1965,5051
4524,2031,5077
4869,2174,6634
4869,2174,6634
4671,2271,7716
4225,2330,8370
3918,2321,8781
3918,2321,8781
3839,2499,8842
3839,2499,8842
4169,2313,8456
4493,2236,7866
4745,2143,7301
4783,2070,7106
4708,2036,7371
4630,2100,7585
4569,2122,7809
4484,2150,7921
4461,2157,7972
4451,2167,7960
4451,2167,7960
4411,2180,8002
4633,1761,7037
4721,1684,5972
4753,1763,6224
4703,2020,5497
4471,2712,4631
4538,2696,4827
4852,3013,7161
4806,2986,7208
4806,2986,7240
4870,2993,7240
4817,2958,7206
4789,2910,7332
4785,2874,7452
4726,2800,7527
4708,2732,7569
4708,2732,7569
4644,2615,7629
4613,2528,7775
4466,2176,7825
4437,2051,7880
4395,1887,7915
4337,1846,8023
4337,1780,8054
4096,1642,8281
3994,1659,8340
3979,1607,8329
4447,2571,8023
4552,3224,7886
4540,3411,7905
4437,3712,7874
4385,3813,7912
4385,3905,7938
4350,3948,7953
4363,3961,7916
4377,3919,7908
4439,3856,7837
4508,3756,7834
4622,3610,7734
4667,3447,7638
4706,3277,7608
4700,3077,7624
4584,3397,7860
4536,3509,7907
4503,3585,7902
4380,3767,8035
4345,3842,8001
4299,3948,8071
4179,4003,8169
4087,4088,8203
4028,4143,8258
3935,4157,8309
3876,4201,8370
3782,4227,8425
3732,4217,8507
3732,4251,8570
3681,4251,8570
3609,4247,8626
3609,4247,8626
3609,4247,8674
3537,4255,8674
3466,4235,8750
3388,4282,8791
3388,4282,8834
3349,4240,8834
3285,4231,8936
3241,4215,8940
3189,4173,8961
3057,4142,9030
3057,4142,9030
2981,4134,9108
2910,4110,9179
2910,4090,9218
2904,4073,9219
2907,4030,9223
2847,4117,9221
2836,4140,9232
2854,4110,9216
2859,4088,9179
2859,4088,9179
2859,4092,9196
2959,4092,9196
2993,4123,9106
3574,4308,8612
3673,4297,8557
3754,4288,8452
